Replace Part BZ1 INDICATOR BUZZER PIEZO PS1240P02CT3 in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with INDICATOR BUZZER PIEZO PS1240P02CT3 from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part LED2 LED YELLOW 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with LED YELLOW 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part LED3 LED RGB THP SRAIGHT-LEG in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with LED RGB THP SRAIGHT-LEG from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part Q2 BJT NPN 3904 SMD SOT-23 in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with BJT NPN 3904 SMD SOT-23 from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R13 RES 1K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 1K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R14 RES 1K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 1K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R15 RES 1K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 1K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R16 RES 200K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 200K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R17 RES 1K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 1K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R18 RES 200K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 200K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R19 RES 4.7K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 4.7K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
Replace Part R20 RES 1K 0805 SMD in D:\_Studies\2025\Skripsie\Altium\BraaiBuddyPCB\05_Human_Interaction.SchDoc with RES 1K 0805 SMD from BraaiBuddyPCB_Schematic_Library.SCHLIB
